startframe	starttime	endframe	endtime
5368	179.112	5484	182.982
5485	183.016	5534	184.651
5535	184.684	5589	186.486
5590	186.519	5640	188.188
5641	188.221	5684	189.656
5685	189.689	5713	190.623
5714	190.657	5726	191.057
5727	191.09	5774	192.659
5775	192.692	5943	198.298
5944	198.331	5995	200.033
5996	200.066	6066	202.402
6067	202.435	6129	204.504
6130	204.537	6180	206.206
6181	206.239	6201	206.906
6202	206.94	6217	207.44
6218	207.473	6314	210.677
6315	210.71	6356	212.078
6357	212.111	6368	212.478
6369	212.512	6425	214.38
6426	214.414	6500	216.883
6501	216.916	6635	221.387
6636	221.421	6661	222.255
6662	222.288	6729	224.524
6730	224.557	6786	226.426
6787	226.459	6883	229.662
6884	229.696	6907	230.463
6908	230.496	6932	231.297
6933	231.331	6971	232.599
6972	232.632	7009	233.866
7010	233.9	7069	235.868
7070	235.902	7100	236.903
7101	236.936	7127	237.804
7128	237.837	7163	239.005
7164	239.038	7203	240.34
7204	240.373	7323	244.344
7324	244.377	7434	248.047
7435	248.081	7491	249.949
7492	249.983	7546	251.784
7547	251.818	7575	252.752
7576	252.785	7587	253.152
7588	253.186	7637	254.821
7638	254.854	7701	256.956
7702	256.99	7726	257.79
7727	257.824	7736	258.124
7737	258.157	7746	258.458
7747	258.491	7756	258.791
7757	258.825	7775	259.425
7776	259.459	7869	262.562
7870	262.595	7963	265.698
7964	265.732	7978	266.199
7979	266.232	7988	266.532
7989	266.566	8009	267.233
8010	267.267	8019	267.567
8020	267.6	8042	268.334
8043	268.368	8089	269.902
8090	269.936	8157	272.171
8158	272.205	8282	276.342
8283	276.376	8354	278.745
8355	278.778	8405	280.446
8406	280.48	8471	282.649
8472	282.682	8536	284.817
8537	284.851	8591	286.653
8592	286.686	8682	289.689
8683	289.722	8739	291.591
8740	291.624	8785	293.126
8786	293.159	8903	297.063
8904	297.096	8941	298.331
8942	298.364	9013	300.733
9014	300.767	9061	302.335
9062	302.368	9067	302.535
9068	302.568	9087	303.202
9088	303.236	9146	305.171
9147	305.204	9199	306.939
9200	306.973	9251	308.675
9252	308.708	9300	310.31
9301	310.343	9313	310.743
9314	310.777	9323	311.077
9324	311.11	9333	311.411
9334	311.444	9343	311.744
9344	311.778	9371	312.679
9372	312.712	9388	313.246
9389	313.279	9400	313.646
9401	313.68	9415	314.147
9416	314.18	9489	316.616
9490	316.649	9530	317.984
9531	318.017	9537	318.217
9538	318.251	9555	318.818
9556	318.851	9569	319.285
9570	319.319	9654	322.121
9655	322.155	9718	324.257
9719	324.29	9755	325.491
9756	325.525	9764	325.792
9765	325.825	9776	326.192
9777	326.225	9795	326.826
9796	326.859	9820	327.66
9821	327.694	9845	328.494
9846	328.528	9858	328.928
9859	328.961	9913	330.763
9914	330.797	9924	331.13
9925	331.164	9970	332.665
9971	332.699	10031	334.701
10032	334.734	10046	335.201
10047	335.234	10056	335.535
10057	335.568	10095	336.836
10096	336.869	10158	338.938
10159	338.971	10213	340.773
10214	340.807	10243	341.774
10244	341.808	10264	342.475
10265	342.508	10288	343.276
10289	343.309	10338	344.944
10339	344.977	10385	346.512
10386	346.546	10419	347.647
10420	347.68	10465	349.182
10466	349.215	10504	350.483
10505	350.516	10537	351.584
10538	351.617	10573	352.785
10574	352.819	10601	353.72
10602	353.753	10621	354.387
10622	354.42	10662	355.755
10663	355.788	10717	357.59
10718	357.623	10754	358.825
10755	358.858	10758	358.958
10759	358.991	10860	362.362
10861	362.395	10978	366.299
10979	366.332	11043	368.468
11044	368.501	11050	368.701
11051	368.735	11131	371.404
11132	371.437	11195	373.539
11196	373.573	11245	375.208
11246	375.241	11678	389.655
